,2017 - en1,2017 - en2,2017 - en3,2017 - en4,2017 - en5,2018 - en1,2018 - en2,2018 - en3,2018 - en4,2018 - en5,2020 - en1,2020 - en2,2020 - en3,2020 - en4,2020 - en5,2024 - en1,2024 - en2,2024 - en3,2024 - en4,2024 - en5
Cropland,5.64,6.28,6.39,5.95,5.82,5.51,5.48,5.82,5.44,5.6,5.24,5.02,4.99,4.51,5.27,4.7,4.45,3.85,4.22,4.04
Forest,6.2,6.09,6.42,5.87,6.4,4.83,5.43,5.62,5.94,5.83,4.96,4.98,4.79,5.52,4.86,5.14,4.41,4.41,5.18,4.3
Grid no UCM,6.63,6.17,6.52,5.87,6.4,5.55,4.64,4.98,5.45,5.47,5.17,5.4,4.98,4.94,5.2,4.18,4.4,4.56,4.96,5.88
Grid BEP,6.24,6.21,6.32,6.13,5.7,5.17,5.67,5.37,5.44,5.36,4.96,5.53,4.87,5.5,4.78,3.77,4.76,4.23,3.97,4.75
Def no UCM,6.12,6.28,6.25,6.29,6.35,4.82,5.74,4.8,5.08,6.21,4.75,5.23,4.96,5.01,4.65,4.46,4.87,4.11,4.63,4.76
Def BEP,6.47,6.39,6.63,6.66,6.28,5.77,5.62,5.93,5.08,5.47,5.12,5.35,4.7,4.7,5.4,3.8,4.17,3.99,4.07,4.25
