,2017 - en1,2017 - en2,2017 - en3,2017 - en4,2017 - en5,2018 - en1,2018 - en2,2018 - en3,2018 - en4,2018 - en5,2020 - en1,2020 - en2,2020 - en3,2020 - en4,2020 - en5,2024 - en1,2024 - en2,2024 - en3,2024 - en4,2024 - en5
Cropland,29,29.5,31.4,28.9,29.3,27.2,28.7,28.2,29.3,28.7,21.9,21.3,22.7,23.7,23.5,15.9,16.3,14.9,16.8,17.3
Forest,29.3,33,31.1,29.1,32.7,27.3,29.2,26.2,30.5,25.8,23.3,20.1,19.1,23.1,22.6,16.5,14.2,15.9,16.7,17.7
Grid no UCM,30.7,28.1,31.8,29.4,31.6,28.5,27.4,26.6,26.7,28,23.3,23.4,23.6,22.6,22.1,15,16.1,16.5,16.1,16.4
Grid BEP,31.5,31.5,33.9,30.5,31,25,24.8,28.5,29.7,29.2,20.5,22.6,23.4,23,23.6,14.7,15.3,16,17,16.3
Def no UCM,33.2,32.7,30.2,29.5,30.7,25,29.5,27.1,28.2,26.3,24,19.2,21.5,21.3,19,15.6,16.8,16.5,17.6,18.1
Def BEP,31.5,29.9,30.5,31,34.2,27.8,30.8,27.8,28.2,28.3,23.4,25.8,19.6,25.3,26.3,16.6,15.8,16.9,16.1,16.6
